Title,WordsRemoved,WordsAdded,DiffWordsAverage,DiffPopularity,DiffAcousticness,DiffDanceability,DiffEnergy,DiffInstrumentalness,DiffLiveness,DiffLoudness,DiffSpeechiness,DiffValence,DiffTempo,DiffSwearCount,DiffSentimentAverage
Malibu,[],[],0.0,52,0.013400000000000007,-0.09900000000000007,0.028999999999999918,2.64e-05,-0.026700000000000012,-1.7160000000000009,0.0292,0.16699999999999998,-0.1419999999999959,0,0.0
Hey There Delilah,[],[],0.0,32,0.499,-0.129,-0.07799999999999999,0.0,0.015,-3.719000000000001,0.027999999999999997,0.08600000000000002,72.72099999999998,0,0.0
Deck The Halls,[],[],0.0,24,0.204841,0.04400000000000015,-0.1930000000000001,0.0,0.04470000000000002,-2.1830000000000003,0.007899999999999997,0.026999999999999916,41.98299999999999,0,-0.02330346287206737
We Got The Beat,[],[],0.0,46,-0.12800000000000006,-0.15399999999999991,0.115,0.07326800000000001,-0.024900000000000002,1.9610000000000007,0.0049000000000000024,-0.4780000000000001,-0.02600000000001046,0,-0.003706972639011493
How To Save A Life,[],[],0.0,71,-0.40299999999999997,0.007000000000000006,0.233,0.0,0.014600000000000004,2.563,0.008800000000000002,0.17800000000000002,-0.045000000000001705,0,0.012796950513920095
Hung Up,[],[],0.0,62,-0.0141,-0.1339999999999999,0.12300000000000001,0.161,-0.15539999999999998,-0.125,-0.0302,0.013000000000000013,0.017000000000010118,0,0.008689562520544812
Happier,[],[],0.0,44,0.04600000000000001,-0.02200000000000002,0.08600000000000008,0.0,0.03899999999999998,3.357,0.001899999999999999,-0.030000000000000027,-0.028999999999996362,0,-0.018824771287825483
All The Small Things,[],[],0.0,60,-0.3647,-0.284,0.409,-0.685,0.511,5.9179999999999975,0.014400000000000003,0.29400000000000004,-2.782999999999987,0,0.0
Wake Me Up,[],[],0.0,60,-0.00385,0.208,-0.010000000000000007,0.0012,0.010000000000000007,-1.4459999999999995,0.004699999999999996,0.1100000000000001,0.2360000000000042,0,-0.02956989247311828
Blackbird,[],[],0.0,64,0.0049999999999998926,0.06699999999999995,-0.15400000000000005,-8.57e-05,-0.0395,-2.9019999999999992,0.0049000000000000024,-0.17799999999999996,2.2629999999999906,0,0.016875602700096443
Something Just Like This,[],[],0.0,54,-0.029,0.07599999999999996,-0.08400000000000007,1.4400000000000001e-05,-0.09800000000000003,-3.4189999999999996,-0.003599999999999999,-0.14799999999999994,-102.738,0,-0.028482972136222886
Rise,[],[],0.0,30,0.06999999999999995,-0.09900000000000007,0.07999999999999996,0.0,0.04800000000000002,0.5759999999999996,-0.0020000000000000018,0.11900000000000001,0.03499999999999659,0,-9.901725375646708e-05
Fireflies,[],[],0.0,58,0.02128,-0.17400000000000004,0.08199999999999996,0.0,-0.01100000000000001,2.4210000000000003,0.0076000000000000035,0.08500000000000002,90.07600000000001,0,0.013741093735541776
Kiss Me,[],[],0.0,65,-0.203,-0.07199999999999995,0.3930000000000001,-1.464e-05,-0.0241,6.113,0.0028000000000000004,-0.015000000000000013,-1.0290000000000106,0,0.057348560079443923
Chasing Cars,[],[],0.0,53,0.221,-0.10199999999999992,-0.069,1.46e-06,-0.027399999999999997,2.0800000000000023,0.006799999999999997,0.10300000000000004,4.228999999999985,0,0.0
Christmas Wrapping,[],[],0.5,20,-0.027500000000000004,0.019000000000000017,-0.18200000000000005,0.0,-0.043,-6.5150000000000015,0.0582,-0.07600000000000008,0.10300000000000864,0,0.08693327133224829
Love Story,[],[],0.5,55,0.1469,-0.11900000000000001,0.232,-1.02e-06,-0.024800000000000003,3.2060000000000013,0.002599999999999998,-0.09999999999999998,0.0039999999999906785,0,-0.00022405825514633905
It's Gonna Be Me,[],[],0.5,56,-0.1193,-0.112,0.4459999999999999,1.27e-06,-0.0938,7.233999999999999,-0.0286,0.116,82.585,0,0.0014716703458425295
Still Into You,[],[],0.5,37,0.8886499999999999,0.17400000000000004,-0.634,0.0,0.0527,-8.253,-0.0126,-0.09099999999999996,-8.957999999999984,0,-0.0008169934640522863
Wrecking Ball,[],[],0.5,52,0.22899999999999995,-0.15500000000000005,-0.066,0.0,0.0102,-1.2300000000000004,0.0045000000000000005,0.01100000000000001,-0.0039999999999906785,0,-0.033464280517968875
Broken,[],[],0.5,39,-0.03045,-0.07700000000000007,-0.08699999999999998,4.26e-06,-0.08810000000000001,-0.1479999999999997,-0.009099999999999995,-0.15599999999999992,0.033999999999991815,0,-0.00026141512722202553
