DiffWords,DiffPopularity,DiffAcousticness,DiffDanceability,DiffEnergy,DiffInstrumentalness,DiffLiveness,DiffLoudness,DiffSpeechiness,DiffValence,DiffTempo,DiffSwearCount,DiffSentimentAverage
"[""('cause"" ""(don't"" '(this' '(to' ""(you're"" '1]' '2]' '[bridge]'
 '[chorus]' '[extended' '[outro]' '[pre-chorus' '[verse' 'bell' 'chorus]'
 'could' 'crying)' 'crying...' 'easy,' 'fool' 'is' 'mama)' 'mother)'
 'own)' 'this' 'world)' 'you)']",51,0.1427,0.06399999999999995,0.03200000000000003,4.41e-05,0.305,2.217,0.002700000000000008,0.061999999999999944,0.003999999999990678,0,0.16041534702741836
"['1:' '2:' '[chorus:' '[outro:' '[verse' 'b.o.b]' ""decatur—what's""
 'hayley' 'hell' 'like,' 'mixtape' 'oh' 'ray?' 'shit?' ""smashin'"" 'stand'
 'stars' 'that,' 'tryna' 'way,' 'williams]' 'wish,']",55,0.0471,0.05900000000000005,0.031000000000000028,1.29e-06,0.0276,1.9909999999999997,0.054200000000000005,0.42399999999999993,0.0759999999999934,1,0.0017993702204228412
"['""fantasías""]' '&' '(eh)' '(pri-baba-babay)' '(pri-yah-yah)'
 '(pu-pu-pu-pum)' '(pu-pu-pu-pum;' ""(ra'-rauw)"" '(tu-tu-tu-tu-tu-tum;'
 '(uh-uh-uh)' '(uh-wuh)' '(woh-oh-oh)' '(wuh),' '(yeah)' '(yeh-eh-eh)'
 '(yo-yo-yo-yo)' '(¡pu-pu-pu-pum!)' '(¡pu-pum!)' '(¡rah!)' '(¡rah!),'
 '(¡yah!)' '1:' '2:' '[?]' '[coro:' '[intro:' '[letra' '[outro:'
 '[pre-coro:' '[puente:' '[verso' 'acá,' 'al' 'alejandro]' 'algo' 'ambos]'
 ""bailamo'"" 'bailándome' ""bebimo',"" ""beso'"" 'brava,' 'calentar'
 'calentándome' 'calentándote' 'cama' 'carbon' 'casa' 'comienzas' 'con'
 'contigo?' 'contra' 'convencerte?' 'cosas' 'cómo' 'dame' 'dar' 'de'
 'decía' 'desde' ""dice'"" 'dices' 'digo' 'dos' 'duars' 'duro' 'dándote'
 'dímelo,' 'eh' 'el' 'entertainment' ""era'"" ""ere'"" 'eso' ""esperamo'""
 'esperamos' 'evo' 'exótica' ""fantasía'"" 'fantasías' 'farruko' 'farruko,'
 'farruko]' 'fiber' 'frank' ""fumamo'"" ""gozamo',"" ""gustamo'"" 'habitación,'
 'hacer' 'halé' 'harás' ""hecho'"" 'hubo' 'ibas' 'jedis' 'juzgándome' 'la'
 'las' 'le' 'llama' 'llegue' 'lo' 'los' 'mente' 'mi' 'miami' 'miraba'
 ""miraba'"" ""mirada'"" 'mis' 'mujer' 'music' 'mí' 'mía' 'negar?' 'no'
 'noche' 'nos' ""nosotro'"" 'nosotros' 'oh' 'oído' ""pa'"" 'para' ""pare'""
 'pasan' 'pero' 'por' 'porque' 'pri-yah-yah' 'proceso' 'prr' 'pueden'
 'puedo' 'que' 'quería' 'quiero' 'química' ""ra'-rauw"" 'rauw' 'rome'
 'rome,' 'rápido' 'sabía' 'se' 'sensei' 'ser' 'sharo' 'si' 'sigue'
 'simpática' 'solas' 'son' 'subir' 'susurrando' 'sé' 'tampoco' 'tan'
 'tanto' 'te' 'tenerte' 'tenerte,' ""terminamo'"" ""terminamo',"" ""to'"" ""to'a""
 'todavía' 'traje' 'tu' 'tus' ""tuvimo'"" 'tú' 'uoh-oh,' 'urba' ""vamo',""
 'vamos,' 'ver' 'vi' 'voy' 'woh-oh-oh' 'y' 'yo' '¡farru!)' ""¡farru'!""
 '¡gangalee!' '¡pri-baba-babay!' '¡pu-pu-pum!' '¡yah!)' '¿cómo' '¿qué']",78,0.1078,0.248,0.07999999999999996,0.0,0.2501,2.5870000000000015,0.043199999999999995,0.029000000000000137,5.001999999999995,1,0.0783033033033033
"['&' ""'cause"" ""'em)"" ""'em,"" ""('live)"" '(blocboy,' '(cinnamon)' ""(feelin'""
 '(hah)' '(he' '(hey)' '(huh,' '(huh?)' '(in' '(middle' '(ooh)'
 '(outside)' '(rrah)' '(shots)' '(stat' ""(that's"" '(the' '(through)' '(to'
 '(uh)' '(word)' '(word,' '(yeah,' '(you)' '1:' '2:' '6' '700,' '901'
 '[chorus:' '[intro:' '[outro:' '[verse' ""actin'"" 'after' ""ain't"" 'alive,'
 'and' 'around,' 'at' 'athletes' 'athletes)' 'ayy,' 'bags' 'be' 'been'
 'behind' 'bitch,' 'blame,' 'bloc' 'blocboy' 'blocboy,' 'blow' 'bound,'
 'brand,' 'broad' 'brown' 'but' 'came' 'capo' 'caught,' ""chasin'"" 'check'
 'chest' 'cinnamon' 'close' 'come' 'cutthroat' 'dawg,' 'delivery' 'died'
 'door' 'downtown,' 'draco' 'drake' 'drake,' 'drake]' 'drive,' 'drop'
 'dr—dr—drizzy' 'edge,' ""expectin'"" 'fault' 'febreze' 'febreze)' ""feelin'""
 'fives,' 'floor' 'flute' 'fourth' 'fuck' 'fucked' ""fuckin'"" 'game'
 ""gaspin'"" 'get' 'god)' 'god,' ""gon'"" 'gone' 'got' 'guys' 'hard' 'he'
 'here' 'high' ""i'll"" ""i'ma"" ""i've"" 'if' 'industry' 'instrument' 'it)'
 'i—' 'jb' 'jb]' 'juice]' 'july,' 'just' 'k,' 'keith,' 'lied' 'like'
 'like,' 'lil' ""litterin'"" 'long' 'loot' 'loot)' 'mama)' 'man' 'man)'
 'man,' 'middle' 'money' ""mothafuckin'"" 'my—my—my' 'name' 'nigga' 'niggas'
 'ni—ni—nigga' 'nosebleeds' 'nosebleeds)' 'not' 'oh' 'on' 'only' 'other'
 'out' 'outside' 'oxygen' 'plan' 'play' 'plug,' 'pushed' 'put' 'pu—pull'
 'pu—pu—pull' 'racks' 'ray' 'really' 'ride' 'robinson' ""rockin'"" 'rounds'
 'same,' 'sheet' 'sheet)' 'shelby' 'shit' ""shiverin'"" ""shiverin')"" 'shoot'
 'shot' 'side' 'side,' 'since,' ""sittin'"" 'slide' 'split' 'spray' 'stat'
 'steal' 'sugar' 'tag' ""talkin'"" 'tay' ""that's"" 'that—that' 'them' 'these'
 'three' 'through' 'tied' 'told' 'up' 'up!' 'up,' 'us' 'way' 'we' 'weapon'
 'well,' 'when' 'who' 'with' 'woo!' 'word)' 'word,' 'w—w—we' 'yeah'
 'yeah)' 'yeah,' 'your']",73,0.08466,0.43800000000000006,0.19200000000000006,5.86e-05,0.015999999999999986,0.6000000000000005,0.18350000000000002,0.21200000000000002,59.55200000000002,20,0.3583972719522592
"[""'cause"" '(that' '1]' '2]' '[chorus]' '[click' '[pre-chorus]' '[verse'
 'a' 'beauty' 'bitches' 'boom' 'booty' 'booty)' 'booty,' 'co-writer'
 'come' 'her' 'hey,' 'hold' 'junk' 'kadish]' 'kevin' 'little' 'magazines'
 'meghan' 'met' 'momma' 'more' 'night' 'on' 'playing' 'read' 'real,'
 'shit' 'silicone' 'so,' 'song,' 'stick-figure,' 'this' 'trainor' 'uh,'
 ""what's"" 'when' 'working']",33,0.06170000000000001,0.007000000000000006,0.03500000000000003,2.87e-06,0.192,0.4570000000000003,0.08070000000000001,0.001000000000000112,0.00899999999998613,2,0.002372006856311795
"['(ah)' '(ah,' '(all' '(and' '(oh' '(oh)' '(oh,' '(ooh)' '(so' '(yeah,'
 '(you)' '1]' '2]' '3]' '[bridge]' '[chorus]' '[intro]' '[outro]' '[verse'
 'ah,' 'baby)' 'brightly,' 'i)' 'need?' 'oh' 'oh)' 'ooh)' 'reindeer'
 'santa,' 'wanna' 'want,' 'yeah' 'yeah)' 'you)']",49,0.16138999999999998,0.11499999999999999,0.30099999999999993,0.0,0.2312,6.084000000000001,0.0024999999999999953,0.049000000000000044,0.23300000000008936,0,0.012083225639700157
"[""'cause"" '1]' '2]' '[bridge]' '[chorus]' '[outro]' '[post-chorus]'
 '[pre-chorus]' '[verse' 'all,' 'around' ""beginnin'"" ""breathin'"" 'crying,'
 'curves' 'distraction,' ""don't"" 'down,' 'downfall,' ""drawin'"" ""goin'""
 ""head's"" ""it's"" ""kickin'"" ""kiddin'"" 'lose,' 'many' 'mind?' 'mouth?' 'no'
 'oh' 'oh-oh' 'singing,' ""spinnin',"" 'table,' 'through' 'too' 'under'
 'water,' ""we're"" ""what's"" ""winnin'"" ""you're"" ""you've"" 'you,' 'you?']",63,0.10100000000000009,0.12099999999999994,0.2839999999999999,0.0,0.134,2.8790000000000004,0.001899999999999999,0.126,6.083999999999989,0,0.07228079911209767
"['""i' '""yep,' ""'bout"" '(go' '(go!)' '1]' '2]' '3]' '[chorus]'
 '[interlude]' '[outro]' '[pre-chorus]' '[verse' 'asked' 'backstreets?'
 'change""' 'do,' 'fire,' 'gas?' 'gold' ""i'll"" 'kind' 'meteor' 'moon)'
 'now,' 'place,' 'said,' ""water's"" 'well,' 'yours?']",53,0.0178,0.1180000000000001,0.239,1.09e-06,0.0199,4.568999999999999,0.003499999999999996,0.09699999999999986,0.01500000000001478,0,0.0017351069982648945
"['1]' '2]' '[bridge]' '[chorus' '[outro]' '[verse' 'dead' 'everyday,'
 'good,' 'got,' 'hearts,' 'possible,' 'see' 'sounds' 'special?' 'than'
 ""that'll"" 'their' 'up,']",53,0.2575,0.02200000000000002,0.05999999999999994,1.545e-05,0.20560000000000003,3.6000000000000023,0.0155,0.18599999999999994,0.0660000000000025,0,0.0202231520223152
['1]' '2]' '[hook]' '[outro]' '[pre-hook]' '[verse' 'still'],60,0.3647,0.284,0.40900000000000003,0.685,0.511,5.917999999999998,0.014400000000000003,0.29400000000000004,2.782999999999987,0,0.0
